[[28.125 28.125 28.125 28.125 28.125]],[28.137703 28.134653 28.12858  28.1195   28.114616]
[[28.125 28.125 28.125 28.125 28.125]],[28.114534 28.122158 28.121967 28.119308 28.119993]
[[28.125 28.125 28.125 28.125 28.125]],[28.112034 28.116749 28.114601 28.108322 28.104202]
[[28.125 28.125 28.125 28.125 28.125]],[28.100931 28.101458 28.095629 28.085785 28.079554]
[[28.125  28.125  28.125  28.125  28.0625]],[28.093977 28.09389  28.087505 28.0781   28.073196]
[[28.125  28.125  28.125  28.0625 28.0625]],[28.106497 28.113125 28.113125 28.110292 28.110237]
[[28.125  28.125  28.0625 28.0625 28.0625]],[28.106497 28.113125 28.113125 28.110292 28.110237]
[[28.125  28.0625 28.0625 28.0625 28.0625]],[28.106497 28.113125 28.113125 28.110292 28.110237]
[[28.0625 28.0625 28.0625 28.0625 28.0625]],[28.106497 28.113125 28.113125 28.110292 28.110237]
[[28.0625 28.0625 28.0625 28.0625 28.0625]],[28.057306 28.060844 28.05471  28.044567 28.038305]
[[28.0625 28.0625 28.0625 28.0625 28.0625]],[28.044132 28.045424 28.037315 28.025042 28.017738]
[[28.0625 28.0625 28.0625 28.0625 28.0625]],[28.0343   28.034527 28.026117 28.014418 28.008522]
[[28.0625 28.0625 28.0625 28.0625 28.0625]],[28.032969 28.034214 28.02776  28.01891  28.01506 ]
[[28.0625 28.0625 28.0625 28.0625 28.0625]],[28.045137 28.052832 28.05248  28.049948 28.050636]
[[28.0625 28.0625 28.0625 28.0625 28.0625]],[28.045137 28.052832 28.05248  28.049948 28.050636]
[[28.0625 28.0625 28.0625 28.0625 28.0625]],[28.045137 28.052832 28.05248  28.049948 28.050636]
[[28.0625 28.0625 28.0625 28.0625 28.0625]],[28.045137 28.052832 28.05248  28.049948 28.050636]
[[28.0625 28.0625 28.0625 28.0625 28.    ]],[28.045137 28.052832 28.05248  28.049948 28.050636]
[[28.0625 28.0625 28.0625 28.     28.    ]],[28.045137 28.052832 28.05248  28.049948 28.050636]
[[28.0625 28.0625 28.     28.     28.    ]],[28.045137 28.052832 28.05248  28.049948 28.050636]
[[28.0625 28.     28.     28.     28.    ]],[28.045137 28.052832 28.05248  28.049948 28.050636]
